"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.016,0.109,0.885,1.7
"Sleep Problems","1",0.477,0.138,0.001,1.7
"Unhealthy Diet","1",0.211,0.119,0.075,1.7
"Smoking","1",2.019,0.039,0,1.7
"Alcohol","1",0.233,0.104,0.026,1.7
"Physical Inactivity","2",0.024,0.015,0.105,90
"Sleep Problems","2",0.1,0.017,0,90
"Unhealthy Diet","2",-0.284,0.016,0,90
"Smoking","2",-0.337,0,0,90
"Alcohol","2",-0.645,0.006,0,90
"Physical Inactivity","3",0.133,0.088,0.133,3.9
"Sleep Problems","3",0.659,0.098,0,3.9
"Unhealthy Diet","3",0.282,0.08,0,3.9
"Smoking","3",3.588,0.021,0,3.9
"Alcohol","3",0.79,0.11,0,3.9
"Physical Inactivity","4",0.023,0.073,0.749,4.4
"Sleep Problems","4",0.395,0.081,0,4.4
"Unhealthy Diet","4",0.018,0.07,0.792,4.4
"Smoking","4",0.521,0.021,0,4.4
"Alcohol","4",-0.153,0.049,0.002,4.4
