"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.115,0.051,0.024,7.9
"Sleep Problems","1",0.106,0.049,0.032,7.9
"Unhealthy Diet","1",0.278,0.047,0,7.9
"Smoking","1",3.719,0.037,0,7.9
"Alcohol","1",1.562,0.062,0,7.9
"Physical Inactivity","2",-0.075,0.016,0,72.1
"Sleep Problems","2",-0.14,0.015,0,72.1
"Unhealthy Diet","2",0.093,0.015,0,72.1
"Smoking","2",-0.292,0,0,72.1
"Alcohol","2",-0.289,0.01,0,72.1
"Physical Inactivity","3",-0.293,0.037,0,15.2
"Sleep Problems","3",-0.11,0.035,0.002,15.2
"Unhealthy Diet","3",0.128,0.035,0,15.2
"Smoking","3",-0.292,0,0,15.2
"Alcohol","3",2.035,0.027,0,15.2
"Physical Inactivity","4",-0.052,0.063,0.405,4.9
"Sleep Problems","4",0.085,0.062,0.165,4.9
"Unhealthy Diet","4",0.223,0.058,0,4.9
"Smoking","4",1.264,0,0,4.9
"Alcohol","4",1.009,0.074,0,4.9
