"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.065,0.016,0,72.8
"Sleep Problems","1",-0.476,0.011,0,72.8
"Unhealthy Diet","1",0.229,0.016,0,72.8
"Smoking","1",-0.293,0,0,72.8
"Alcohol","1",0.02,0.015,0.182,72.8
"Physical Inactivity","2",0.13,0.038,0.001,16.3
"Sleep Problems","2",1.48,0.029,0,16.3
"Unhealthy Diet","2",0.375,0.035,0,16.3
"Smoking","2",-0.293,0,0,16.3
"Alcohol","2",0.216,0.038,0,16.3
"Physical Inactivity","3",0.493,0.064,0,5.2
"Sleep Problems","3",0.247,0.063,0,5.2
"Unhealthy Diet","3",0.791,0.056,0,5.2
"Smoking","3",4.137,0,0,5.2
"Alcohol","3",1.782,0.06,0,5.2
"Physical Inactivity","4",0.258,0.059,0,5.7
"Sleep Problems","4",0.225,0.061,0,5.7
"Unhealthy Diet","4",0.586,0.054,0,5.7
"Smoking","4",1.812,0.041,0,5.7
"Alcohol","4",1.48,0.059,0,5.7
