y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
2,(Intercept),-3.2235350857314278,0.0914817707532246,-35.236911782425274,5.4438145866935866e-272,0.03981406306618113,0.03327864575191422,0.047632936437825686
2,age,1.7686608661372463,0.04632162822713542,38.18218257494578,5.56367e-319,5.862996764534644,5.354142041972379,6.42021276078821
2,sex,-0.15601223084381455,0.05104337781110463,-3.0564636890051906,0.0022396460563988037,0.8555487262241798,0.7740976493853573,0.9455701403111147
2,fas,0.026256681160875636,0.02571277836204094,1.021153015484225,0.30718194867443405,1.0266044246727923,0.9761486835890121,1.0796681514570226
3,(Intercept),-3.858154699451083,0.12671993112550584,-30.44631310310525,1.34037704636069e-203,0.021106912205881474,0.016464878137992703,0.027057700587457913
3,age,1.1229008294527572,0.05115282102787443,21.951884703306213,8.308466534264304e-107,3.073757730197402,2.7805292860280693,3.3979093949571553
3,sex,0.04063504085942285,0.0755302158794388,0.5379971497007824,0.590579016382582,1.0414719414728275,0.8981625782324588,1.2076475141168175
3,fas,8.544557643409905e-5,0.03795001551693764,0.0022515294202175872,0.9982035409552388,1.0000854492270113,0.9283963047386969,1.07731030450094
4,(Intercept),-3.110938645207124,0.09886885580862036,-31.465304415264427,2.592414980757235e-217,0.04455911050910863,0.036709430224157034,0.0540873099157057
4,age,0.7970447516533908,0.03593283137381685,22.181518159856804,5.180119912101098e-109,2.218973611149723,2.0680712345508905,2.380886985282265
4,sex,-0.024117521735137093,0.06118834471987578,-0.39415221715097337,0.6934686611681689,0.9761709817089608,0.8658473316257492,1.1005517378466885
4,fas,0.08237329029343653,0.030743849540760048,2.6793420968387975,0.007376698620017973,1.0858610755834928,1.0223617021780997,1.15330442538617
