"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.075,0.019,0,66.2
"Sleep Problems","1",-0.494,0.012,0,66.2
"Unhealthy Diet","1",0.093,0.018,0,66.2
"Smoking","1",-0.378,0,0,66.2
"Alcohol","1",-0.166,0.018,0,66.2
"Physical Inactivity","2",0.162,0.053,0.002,8.4
"Sleep Problems","2",0.112,0.054,0.04,8.4
"Unhealthy Diet","2",0.408,0.05,0,8.4
"Smoking","2",0.837,0,0,8.4
"Alcohol","2",0.925,0.056,0,8.4
"Physical Inactivity","3",0.12,0.047,0.01,13.3
"Sleep Problems","3",1.574,0.031,0,13.3
"Unhealthy Diet","3",0.314,0.046,0,13.3
"Smoking","3",-0.378,0,0,13.3
"Alcohol","3",0.103,0.049,0.037,13.3
"Physical Inactivity","4",0.252,0.046,0,12.2
"Sleep Problems","4",0.227,0.05,0,12.2
"Unhealthy Diet","4",0.582,0.039,0,12.2
"Smoking","4",2.85,0.026,0,12.2
"Alcohol","4",1.579,0.046,0,12.2
