"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.035,0.143,0.807,1.4
"Sleep Problems","1",0.405,0.192,0.035,1.4
"Unhealthy Diet","1",0.114,0.189,0.547,1.4
"Smoking","1",2.119,0.106,0,1.4
"Alcohol","1",0.568,0.151,0,1.4
"Physical Inactivity","2",0.066,0.176,0.705,1.4
"Sleep Problems","2",0.7,0.206,0.001,1.4
"Unhealthy Diet","2",0.117,0.136,0.388,1.4
"Smoking","2",4.321,0.057,0,1.4
"Alcohol","2",1.155,0.229,0,1.4
"Physical Inactivity","3",-0.068,0.019,0,97.2
"Sleep Problems","3",0.25,0.022,0,97.2
"Unhealthy Diet","3",-0.199,0.021,0,97.2
"Smoking","3",-0.286,0.002,0,97.2
"Alcohol","3",-0.516,0.011,0,97.2
