"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.351,0.072,0,6.6
"Sleep Problems","1",0.119,0.071,0.093,6.6
"Undietary Behavior","1",0.32,0.064,0,6.6
"Smoking","1",2.89,0.041,0,6.6
"Alcohol","1",1.391,0.071,0,6.6
"Physical Inactivity","2",0.3,0.08,0,4.7
"Sleep Problems","2",0.18,0.082,0.027,4.7
"Undietary Behavior","2",0.223,0.07,0.001,4.7
"Smoking","2",0.872,0,0,4.7
"Alcohol","2",0.949,0.083,0,4.7
"Physical Inactivity","3",-0.038,0.019,0.04,80.8
"Sleep Problems","3",-0.015,0.019,0.433,80.8
"Undietary Behavior","3",-0.183,0.018,0,80.8
"Smoking","3",-0.38,0,0,80.8
"Alcohol","3",-0.414,0.009,0,80.8
"Physical Inactivity","4",0.244,0.06,0,7.9
"Sleep Problems","4",-0.061,0.058,0.295,7.9
"Undietary Behavior","4",-0.016,0.058,0.778,7.9
"Smoking","4",-0.377,0.002,0,7.9
"Alcohol","4",2.045,0.059,0,7.9
