"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.536,0.077,0,5.2
"Sleep Problems","1",0.452,0.09,0,5.2
"Unhealthy Diet","1",0.863,0.079,0,5.2
"Smoking","1",4.304,0,0,5.2
"Alcohol","1",1.573,0.072,0,5.2
"Physical Inactivity","2",0.358,0.08,0,4.1
"Sleep Problems","2",0.171,0.085,0.044,4.1
"Unhealthy Diet","2",0.567,0.095,0,4.1
"Smoking","2",1.899,0.061,0,4.1
"Alcohol","2",1.011,0.091,0,4.1
"Physical Inactivity","3",0.005,0.018,0.799,90.6
"Sleep Problems","3",-0.112,0.016,0,90.6
"Unhealthy Diet","3",0.092,0.017,0,90.6
"Smoking","3",-0.277,0,0,90.6
"Alcohol","3",0.028,0.016,0.084,90.6
