term,estimate,std.error,statistic,p.value,std_estimate,std_conf.low,std_conf.high
(Intercept),0.42172858302786864,0.01842625834741453,22.887369485245674,5.718013754933349e-115,0.42172858302786864,0.38561311666693615,0.45784404938880113
profile1,-0.26960354590207675,0.08027027548037675,-3.358697155187729,7.840616229493702e-4,-0.06205014920202927,-0.2193798891435677,0.09527959073950916
profile3,-0.37201777404224895,0.08774080582936356,-4.239963042574981,2.2421062065750787e-5,-0.0779917503773267,-0.24996372980287926,0.09398022904822587
age,-0.10013416236583755,0.005717085141771226,-17.514897868884056,2.3750878420155346e-68,-0.10058022946040572,-0.11178571633827733,-0.08937474258253411
sex,-0.2531137910512058,0.011611739640501915,-21.798093902169597,1.5072492371933145e-104,-0.12690748689286063,-0.14966649658824438,-0.10414847719747689
fas,0.09110530348622513,0.005517895791146106,16.51087786623493,5.620599783774339e-61,0.09131220074654964,0.08049712499590327,0.10212727649719601
profile1:sex,-0.015630667723113695,0.04861629409966152,-0.3215108846238142,0.7478254564228195,-0.005968931359599712,-0.10125686779493628,0.08931900507573687
profile3:sex,-0.1367626260731414,0.053247098415479775,-2.568452181300124,0.010220069654836069,-0.04735210324896787,-0.15171641614330822,0.057012209645372486
