"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.043,0.015,0.004,71.4
"Sleep Problems","1",-0.494,0.008,0,71.4
"Unhealthy Diet","1",-0.118,0.015,0,71.4
"Smoking","1",-0.337,0,0,71.4
"Alcohol","1",-0.16,0.012,0,71.4
"Physical Inactivity","2",0.283,0.059,0,5.2
"Sleep Problems","2",0.405,0.068,0,5.2
"Unhealthy Diet","2",0.462,0.06,0,5.2
"Smoking","2",3.738,0.002,0,5.2
"Alcohol","2",1.256,0.064,0,5.2
"Physical Inactivity","3",0.166,0.052,0.001,6.3
"Sleep Problems","3",0.167,0.055,0.002,6.3
"Unhealthy Diet","3",0.196,0.048,0,6.3
"Smoking","3",1.593,0.034,0,6.3
"Alcohol","3",0.851,0.053,0,6.3
"Physical Inactivity","4",0.153,0.034,0,17.1
"Sleep Problems","4",1.635,0.023,0,17.1
"Unhealthy Diet","4",0.01,0.035,0.767,17.1
"Smoking","4",-0.336,0.001,0,17.1
"Alcohol","4",0.054,0.032,0.094,17.1
