"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.267,0.047,0,13.6
"Sleep Problems","1",1.779,0.035,0,13.6
"Unhealthy Diet","1",0.216,0.042,0,13.6
"Smoking","1",-0.377,0,0,13.6
"Alcohol","1",0.027,0.043,0.536,13.6
"Physical Inactivity","2",0.559,0.061,0,6.4
"Sleep Problems","2",0.277,0.068,0,6.4
"Unhealthy Diet","2",0.401,0.053,0,6.4
"Smoking","2",3.209,0,0,6.4
"Alcohol","2",1.376,0.063,0,6.4
"Physical Inactivity","3",0.331,0.057,0,7.2
"Sleep Problems","3",0.182,0.06,0.002,7.2
"Unhealthy Diet","3",0.4,0.046,0,7.2
"Smoking","3",1.367,0.033,0,7.2
"Alcohol","3",0.879,0.056,0,7.2
"Physical Inactivity","4",0.114,0.018,0,72.8
"Sleep Problems","4",-0.46,0.009,0,72.8
"Unhealthy Diet","4",0.064,0.016,0,72.8
"Smoking","4",-0.377,0,0,72.8
"Alcohol","4",-0.191,0.015,0,72.8
