"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.055,0.01,0,93.5
"Sleep Problems","1",-0.135,0.01,0,93.5
"Unhealthy Diet","1",0.157,0.01,0,93.5
"Smoking","1",-0.198,0,0,93.5
"Alcohol","1",-0.016,0.009,0.066,93.5
"Physical Inactivity","2",0.302,0.064,0,2.8
"Sleep Problems","2",0.273,0.067,0,2.8
"Unhealthy Diet","2",0.639,0.067,0,2.8
"Smoking","2",2.03,0,0,2.8
"Alcohol","2",2.206,0.098,0,2.8
"Physical Inactivity","3",0.751,0.061,0,3.7
"Sleep Problems","3",0.313,0.06,0,3.7
"Unhealthy Diet","3",1.149,0.065,0,3.7
"Smoking","3",5.84,0.054,0,3.7
"Alcohol","3",3.257,0.083,0,3.7
