"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.116,0.018,0,71.8
"Sleep Problems","1",-0.464,0.01,0,71.8
"Unhealthy Diet","1",-0.184,0.019,0,71.8
"Smoking","1",-0.345,0,0,71.8
"Alcohol","1",-0.338,0.014,0,71.8
"Physical Inactivity","2",0.065,0.038,0.085,20.2
"Sleep Problems","2",1.677,0.027,0,20.2
"Unhealthy Diet","2",0.01,0.04,0.81,20.2
"Smoking","2",-0.345,0,0,20.2
"Alcohol","2",-0.113,0.032,0,20.2
"Physical Inactivity","3",-0.064,0.102,0.533,3.2
"Sleep Problems","3",0.259,0.105,0.013,3.2
"Unhealthy Diet","3",0.434,0.097,0,3.2
"Smoking","3",3.66,0,0,3.2
"Alcohol","3",1.229,0.108,0,3.2
"Physical Inactivity","4",-0.048,0.075,0.525,4.9
"Sleep Problems","4",0.318,0.08,0,4.9
"Unhealthy Diet","4",0.358,0.073,0,4.9
"Smoking","4",1.607,0.047,0,4.9
"Alcohol","4",0.868,0.075,0,4.9
