"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.045,0.007,0,85.3
"Sleep Problems","1",-0.053,0.007,0,85.3
"Unhealthy Diet","1",-0.066,0.007,0,85.3
"Smoking","1",-0.377,0,0,85.3
"Alcohol","1",-0.183,0.006,0,85.3
"Physical Inactivity","2",0.347,0.025,0,7.3
"Sleep Problems","2",0.374,0.028,0,7.3
"Unhealthy Diet","2",0.465,0.024,0,7.3
"Smoking","2",3.182,0.003,0,7.3
"Alcohol","2",1.314,0.024,0,7.3
"Physical Inactivity","3",0.242,0.036,0,2.9
"Sleep Problems","3",0.263,0.042,0,2.9
"Unhealthy Diet","3",0.338,0.034,0,2.9
"Smoking","3",1.982,0.005,0,2.9
"Alcohol","3",0.957,0.038,0,2.9
"Physical Inactivity","4",0.135,0.03,0,4.5
"Sleep Problems","4",0.219,0.033,0,4.5
"Unhealthy Diet","4",0.285,0.027,0,4.5
"Smoking","4",0.738,0.006,0,4.5
"Alcohol","4",0.745,0.031,0,4.5
