"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.171,0.07,0.015,4.3
"Sleep Problems","1",0.21,0.068,0.002,4.3
"Unhealthy Diet","1",0.301,0.066,0,4.3
"Smoking","1",1.908,0.05,0,4.3
"Alcohol","1",1.626,0.067,0,4.3
"Physical Inactivity","2",-0.026,0.014,0.058,91.6
"Sleep Problems","2",-0.152,0.013,0,91.6
"Unhealthy Diet","2",-0.046,0.014,0.001,91.6
"Smoking","2",-0.266,0,0,91.6
"Alcohol","2",0.151,0.014,0,91.6
"Physical Inactivity","3",0.261,0.079,0.001,4.2
"Sleep Problems","3",0.181,0.072,0.012,4.2
"Unhealthy Diet","3",0.761,0.06,0,4.2
"Smoking","3",4.551,0,0,4.2
"Alcohol","3",1.763,0.067,0,4.2
