"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.126,0.016,0,81.4
"Sleep Problems","1",-0.013,0.016,0.407,81.4
"Undietary Behavior","1",-0.055,0.015,0,81.4
"Smoking","1",-0.344,0,0,81.4
"Alcohol","1",-0.383,0.008,0,81.4
"Physical Inactivity","2",-0.017,0.063,0.791,5.7
"Sleep Problems","2",0.187,0.061,0.002,5.7
"Undietary Behavior","2",0.253,0.055,0,5.7
"Smoking","2",1.397,0.037,0,5.7
"Alcohol","2",1.355,0.064,0,5.7
"Physical Inactivity","3",0.163,0.079,0.04,4.2
"Sleep Problems","3",0.275,0.08,0.001,4.2
"Undietary Behavior","3",0.641,0.077,0,4.2
"Smoking","3",3.535,0,0,4.2
"Alcohol","3",1.368,0.089,0,4.2
"Physical Inactivity","4",-0.094,0.048,0.051,8.8
"Sleep Problems","4",-0.008,0.046,0.857,8.8
"Undietary Behavior","4",0.244,0.048,0,8.8
"Smoking","4",-0.344,0,0,8.8
"Alcohol","4",1.852,0.037,0,8.8
