y.level,term,estimate,std.error,statistic,p.value,odds_ratio,conf.low,conf.high
2,(Intercept),-2.6657214751556246,0.23720561062656045,-11.238020332294525,2.652641669862979e-29,0.06954915743864219,0.04368963143424854,0.11071471975461027
2,age,1.1333583626265002,0.09577175035349356,11.833952689005622,2.605757083057534e-32,3.1060703141132944,2.574475262854334,3.7474327042161724
2,sex,-0.37463703342162075,0.15047866671217447,-2.4896355184898162,0.01278741576739589,0.6875387871077024,0.5119259874377426,0.9233943878166931
2,fas,-0.07651462744871174,0.07542584108948085,-1.0144351901616744,0.3103751398537204,0.9263393642081812,0.7990360015392416,1.0739248494793572
3,(Intercept),-3.0699403380638084,0.23444794282958775,-13.094336853683735,3.547592125747524e-39,0.046423924516031084,0.029320794464131262,0.07350349152737418
3,age,0.7087122772201778,0.07860819405219974,9.015755746144706,1.9551766789734129e-19,2.031373727458007,1.7413143765362942,2.3697496995429126
3,sex,0.13201063429016544,0.14360682465278266,0.9192504228774999,0.35796460275399905,1.1411204542087354,0.861173967577089,1.5120706617237438
3,fas,-0.029028003302896396,0.0723398858759909,-0.4012724508946259,0.6882195441638013,0.9713892619779934,0.8429782014486952,1.1193612084684248
4,(Intercept),-3.2259864194785077,0.2958882000969943,-10.902720752030685,1.1186149731891411e-27,0.039716585034185764,0.0222385659650238,0.07093115308148064
4,age,0.9185033677934169,0.1107959327321641,8.290045899191885,1.132047751958964e-16,2.5055377140113455,2.0164596790883698,3.113238167584546
4,sex,-0.22724306607470884,0.18749423642067758,-1.2120002748503025,0.22551227542383087,0.796727101423312,0.5517105316367191,1.1505563837240065
4,fas,-0.1071460367750257,0.09435069562040622,-1.1356146986567854,0.25611785450163777,0.8983944647795894,0.7467137250317589,1.080886271793487
