"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.278,0.08,0.001,3.3
"Sleep Problems","1",0.458,0.081,0,3.3
"Unhealthy Diet","1",0.614,0.075,0,3.3
"Smoking","1",4.115,0,0,3.3
"Alcohol","1",1.075,0.088,0,3.3
"Physical Inactivity","2",-0.028,0.013,0.04,93.8
"Sleep Problems","2",-0.052,0.013,0,93.8
"Unhealthy Diet","2",-0.105,0.013,0,93.8
"Smoking","2",-0.285,0,0,93.8
"Alcohol","2",-0.32,0.01,0,93.8
"Physical Inactivity","3",0.187,0.084,0.025,2.9
"Sleep Problems","3",0.492,0.083,0,2.9
"Unhealthy Diet","3",0.335,0.079,0,2.9
"Smoking","3",1.717,0.054,0,2.9
"Alcohol","3",0.909,0.078,0,2.9
