"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.113,0.043,0.009,7.5
"Sleep Problems","1",0.191,0.047,0,7.5
"Undietary Behavior","1",0.344,0.048,0,7.5
"Smoking","1",1.815,0.033,0,7.5
"Alcohol","1",1.536,0.054,0,7.5
"Physical Inactivity","2",0.206,0.059,0.001,4.8
"Sleep Problems","2",0.207,0.059,0,4.8
"Undietary Behavior","2",0.593,0.054,0,4.8
"Smoking","2",4.302,0,0,4.8
"Alcohol","2",1.85,0.068,0,4.8
"Physical Inactivity","3",-0.013,0.037,0.731,10.1
"Sleep Problems","3",0.13,0.042,0.002,10.1
"Undietary Behavior","3",0.286,0.039,0,10.1
"Smoking","3",-0.302,0,0,10.1
"Alcohol","3",2.143,0.034,0,10.1
"Physical Inactivity","4",0.006,0.013,0.678,77.6
"Sleep Problems","4",-0.069,0.014,0,77.6
"Undietary Behavior","4",-0.059,0.014,0,77.6
"Smoking","4",-0.302,0,0,77.6
"Alcohol","4",-0.27,0.009,0,77.6
