"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.129,0.075,0.086,2.5
"Sleep Problems","1",0.207,0.092,0.024,2.5
"Unhealthy Diet","1",0.192,0.087,0.028,2.5
"Smoking","1",0.761,0.03,0,2.5
"Alcohol","1",0.439,0.083,0,2.5
"Physical Inactivity","2",0.118,0.119,0.32,1.8
"Sleep Problems","2",0.635,0.124,0,1.8
"Unhealthy Diet","2",0.547,0.128,0,1.8
"Smoking","2",4.525,0.032,0,1.8
"Alcohol","2",1.945,0.182,0,1.8
"Physical Inactivity","3",0.035,0.013,0.006,94.9
"Sleep Problems","3",0.128,0.014,0,94.9
"Unhealthy Diet","3",-0.197,0.014,0,94.9
"Smoking","3",-0.275,0,0,94.9
"Alcohol","3",-0.402,0.008,0,94.9
"Physical Inactivity","4",0.329,0.152,0.03,0.7
"Sleep Problems","4",0.572,0.174,0.001,0.7
"Unhealthy Diet","4",0.389,0.155,0.012,0.7
"Smoking","4",2.686,0.063,0,0.7
"Alcohol","4",1.435,0.227,0,0.7
