"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.116,0.017,0,81.2
"Sleep Problems","1",-0.049,0.016,0.002,81.2
"Undietary Behavior","1",-0.101,0.016,0,81.2
"Smoking","1",-0.302,0,0,81.2
"Alcohol","1",-0.301,0.009,0,81.2
"Physical Inactivity","2",0.13,0.053,0.015,8.3
"Sleep Problems","2",0.083,0.053,0.117,8.3
"Undietary Behavior","2",0.238,0.053,0,8.3
"Smoking","2",-0.302,0,0,8.3
"Alcohol","2",2.183,0.038,0,8.3
"Physical Inactivity","3",0.235,0.077,0.002,4
"Sleep Problems","3",0.117,0.076,0.122,4
"Undietary Behavior","3",0.388,0.069,0,4
"Smoking","3",1.233,0,0,4
"Alcohol","3",1.207,0.09,0,4
"Physical Inactivity","4",0.345,0.061,0,6.5
"Sleep Problems","4",0.245,0.064,0,6.5
"Undietary Behavior","4",0.458,0.06,0,6.5
"Smoking","4",3.7,0.043,0,6.5
"Alcohol","4",1.654,0.076,0,6.5
