"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.157,0.031,0,28.6
"Sleep Problems","1",1.109,0.017,0,28.6
"Unhealthy Diet","1",-0.008,0.03,0.799,28.6
"Smoking","1",-0.285,0,0,28.6
"Alcohol","1",0.155,0.032,0,28.6
"Physical Inactivity","2",-0.122,0.021,0,61
"Sleep Problems","2",-0.693,0.01,0,61
"Unhealthy Diet","2",-0.049,0.019,0.01,61
"Smoking","2",-0.285,0,0,61
"Alcohol","2",0.106,0.02,0,61
"Physical Inactivity","3",0.23,0.08,0.004,4.8
"Sleep Problems","3",0.244,0.074,0.001,4.8
"Unhealthy Diet","3",0.319,0.064,0,4.8
"Smoking","3",4.271,0,0,4.8
"Alcohol","3",1.458,0.101,0,4.8
"Physical Inactivity","4",-0.188,0.071,0.008,5.5
"Sleep Problems","4",0.248,0.067,0,5.5
"Unhealthy Diet","4",0.185,0.062,0.003,5.5
"Smoking","4",1.887,0.048,0,5.5
"Alcohol","4",1.129,0.079,0,5.5
