"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.268,0.066,0,5.9
"Sleep Problems","1",0.234,0.066,0,5.9
"Unhealthy Diet","1",0.331,0.069,0,5.9
"Smoking","1",-0.352,0,0,5.9
"Alcohol","1",1.696,0.053,0,5.9
"Physical Inactivity","2",0.121,0.053,0.023,7.2
"Sleep Problems","2",0.27,0.055,0,7.2
"Unhealthy Diet","2",0.375,0.054,0,7.2
"Smoking","2",1.413,0.032,0,7.2
"Alcohol","2",1.155,0.053,0,7.2
"Physical Inactivity","3",0.357,0.058,0,6.7
"Sleep Problems","3",0.399,0.061,0,6.7
"Unhealthy Diet","3",0.588,0.053,0,6.7
"Smoking","3",3.531,0,0,6.7
"Alcohol","3",1.651,0.053,0,6.7
"Physical Inactivity","4",-0.111,0.016,0,80.2
"Sleep Problems","4",-0.088,0.015,0,80.2
"Unhealthy Diet","4",-0.05,0.015,0.001,80.2
"Smoking","4",-0.352,0,0,80.2
"Alcohol","4",-0.399,0.008,0,80.2
