"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.351,0.087,0,3.1
"Sleep Problems","1",0.447,0.099,0,3.1
"Unhealthy Diet","1",0.231,0.085,0.006,3.1
"Smoking","1",0.552,0.028,0,3.1
"Alcohol","1",0.422,0.101,0,3.1
"Physical Inactivity","2",0.054,0.016,0.001,91.8
"Sleep Problems","2",0.034,0.016,0.036,91.8
"Unhealthy Diet","2",-0.147,0.017,0,91.8
"Smoking","2",-0.332,0,0,91.8
"Alcohol","2",-0.412,0.008,0,91.8
"Physical Inactivity","3",0.214,0.14,0.126,1.5
"Sleep Problems","3",0.343,0.133,0.01,1.5
"Unhealthy Diet","3",0.272,0.126,0.031,1.5
"Smoking","3",1.952,0.043,0,1.5
"Alcohol","3",0.377,0.142,0.008,1.5
"Physical Inactivity","4",0.431,0.1,0,3.6
"Sleep Problems","4",0.458,0.089,0,3.6
"Unhealthy Diet","4",0.472,0.086,0,3.6
"Smoking","4",3.523,0.021,0,3.6
"Alcohol","4",0.989,0.126,0,3.6
