"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.031,0.037,0.409,72
"Sleep Problems","1",-0.011,0.039,0.782,72
"Unhealthy Diet","1",-0.097,0.037,0.008,72
"Smoking","1",-0.619,0,0,72
"Alcohol","1",-0.308,0.027,0,72
"Physical Inactivity","2",0.375,0.065,0,19.5
"Sleep Problems","2",0.313,0.081,0,19.5
"Unhealthy Diet","2",0.44,0.065,0,19.5
"Smoking","2",1.81,0,0,19.5
"Alcohol","2",0.595,0.077,0,19.5
"Physical Inactivity","3",0.351,0.096,0,8.5
"Sleep Problems","3",0.275,0.13,0.034,8.5
"Unhealthy Diet","3",0.354,0.111,0.001,8.5
"Smoking","3",0.753,0.04,0,8.5
"Alcohol","3",0.39,0.148,0.009,8.5
