"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.038,0.017,0.021,70.7
"Sleep Problems","1",-0.446,0.008,0,70.7
"Unhealthy Diet","1",0.326,0.015,0,70.7
"Smoking","1",-0.351,0,0,70.7
"Alcohol","1",0.405,0.017,0,70.7
"Physical Inactivity","2",0.089,0.042,0.033,12.5
"Sleep Problems","2",1.83,0.034,0,12.5
"Unhealthy Diet","2",0.442,0.038,0,12.5
"Smoking","2",-0.351,0,0,12.5
"Alcohol","2",0.605,0.046,0,12.5
"Physical Inactivity","3",0.125,0.05,0.013,8.9
"Sleep Problems","3",-0.085,0.045,0.056,8.9
"Unhealthy Diet","3",0.683,0.044,0,8.9
"Smoking","3",3.453,0,0,8.9
"Alcohol","3",1.799,0.039,0,8.9
"Physical Inactivity","4",0.187,0.051,0,7.9
"Sleep Problems","4",0.056,0.05,0.264,7.9
"Unhealthy Diet","4",0.504,0.045,0,7.9
"Smoking","4",1.552,0.032,0,7.9
"Alcohol","4",1.45,0.045,0,7.9
