"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",-0.061,0.015,0,90
"Sleep Problems","1",-0.063,0.015,0,90
"Unhealthy Diet","1",-0.032,0.015,0.032,90
"Smoking","1",-0.291,0,0,90
"Alcohol","1",-0.14,0.013,0,90
"Physical Inactivity","2",0.377,0.079,0,4.6
"Sleep Problems","2",0.103,0.073,0.159,4.6
"Unhealthy Diet","2",0.668,0.066,0,4.6
"Smoking","2",4.189,0,0,4.6
"Alcohol","2",1.614,0.087,0,4.6
"Physical Inactivity","3",0.013,0.067,0.842,5.4
"Sleep Problems","3",0.001,0.063,0.983,5.4
"Unhealthy Diet","3",0.253,0.063,0,5.4
"Smoking","3",1.801,0.047,0,5.4
"Alcohol","3",1.24,0.076,0,5.4
