"Variable","LatentClass","Estimate","SE","PValue","Proportion"
"Physical Inactivity","1",0.338,0.058,0,7.5
"Sleep Problems","1",0.331,0.064,0,7.5
"Unhealthy Diet","1",0.482,0.053,0,7.5
"Smoking","1",3.209,0,0,7.5
"Alcohol","1",1.498,0.05,0,7.5
"Physical Inactivity","2",0.044,0.043,0.298,12.4
"Sleep Problems","2",1.907,0.033,0,12.4
"Unhealthy Diet","2",0.118,0.046,0.01,12.4
"Smoking","2",-0.377,0,0,12.4
"Alcohol","2",0.251,0.046,0,12.4
"Physical Inactivity","3",-0.118,0.016,0,73.2
"Sleep Problems","3",-0.41,0.009,0,73.2
"Unhealthy Diet","3",0.01,0.016,0.543,73.2
"Smoking","3",-0.377,0,0,73.2
"Alcohol","3",-0.05,0.016,0.001,73.2
"Physical Inactivity","4",0.215,0.057,0,6.9
"Sleep Problems","4",0.191,0.06,0.002,6.9
"Unhealthy Diet","4",0.401,0.049,0,6.9
"Smoking","4",1.341,0.032,0,6.9
"Alcohol","4",1.084,0.053,0,6.9
